is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life
True,-5.6988947350384755,0.0,0.12945,0.0005,ALPHA-USDT,CELR-USDT,329,67.59998
True,-4.019559003755429,0.00131,79.72098,-0.0935,VET-USDT,OMG-USDT,320,129.38306
True,-5.776437668956432,0.0,209.04349,0.20901,XEM-USDT,NEO-USDT,302,79.93412
True,-5.1127747973290125,1e-05,2.22516,-0.00142,XEM-USDT,NKN-USDT,294,143.74961
True,-4.523171799285419,0.00018,194.55403,5.39023,ICX-USDT,EGLD-USDT,290,104.33331
True,-4.935129003662593,3e-05,1342.35542,0.57846,LINA-USDT,AR-USDT,289,104.99587
True,-6.316161882792475,0.0,0.45852,0.40511,ZEN-USDT,DOT-USDT,281,64.5214
True,-5.135528891240727,1e-05,0.40131,0.00016,VET-USDT,DGB-USDT,278,55.95296
True,-5.502008459595648,0.0,1.40498,-0.43522,DOT-USDT,LPT-USDT,275,65.54856
True,-5.457573377301502,0.0,0.4548,0.00282,ICX-USDT,REN-USDT,274,66.5153
True,-5.905624529246123,0.0,43.43449,-0.69644,IOTA-USDT,AR-USDT,269,90.38293
True,-4.252289993097523,0.00054,0.01312,0.00371,DOT-USDT,COTI-USDT,265,179.3726
True,-5.89119149697443,0.0,0.04916,-0.04833,AR-USDT,ENJ-USDT,262,86.52294
True,-4.226406426870916,0.00059,0.00243,0.00043,BAND-USDT,REEF-USDT,261,256.71208
True,-6.4034854594595485,0.0,53.26726,0.83741,CELO-USDT,KSM-USDT,259,65.08962
True,-3.288651719658513,0.01539,3.7743,0.07171,ATA-USDT,1INCH-USDT,258,125.43469
True,-5.486451301669797,0.0,265.46575,-0.00158,DENT-USDT,BAKE-USDT,255,148.30311
True,-5.153455112289131,1e-05,0.09953,-0.00028,CHR-USDT,CELR-USDT,254,73.72181
True,-4.528603964193241,0.00017,3.84187,0.01323,GRT-USDT,C98-USDT,252,80.8217
True,-4.495503935384882,0.0002,0.19806,-0.00108,ATA-USDT,IOTX-USDT,251,78.35814
True,-4.954071395111452,3e-05,21.65377,0.01106,LINA-USDT,OCEAN-USDT,251,111.71061
True,-3.5736290545398983,0.00629,10.62171,0.19973,ATA-USDT,OMG-USDT,251,157.97623
True,-4.798351462576223,5e-05,20.18304,0.0052,LINA-USDT,CHR-USDT,249,121.16837
True,-4.11322350945711,0.00092,0.00249,-0.00028,QTUM-USDT,STMX-USDT,248,106.75972
True,-4.1021799435798245,0.00096,0.07863,-0.00172,QTUM-USDT,ONT-USDT,247,103.46139
True,-3.725088154308171,0.00377,0.65171,-0.01334,IOTA-USDT,CHR-USDT,244,125.58064
True,-4.943751474750758,3e-05,14609.24636,1.1292,DENT-USDT,ZEN-USDT,243,89.85982
True,-4.0229464198856535,0.0013,4150.32827,-0.37763,LINA-USDT,SOL-USDT,242,196.80802
True,-4.168033114220636,0.00075,324.87859,0.21354,IOTX-USDT,LPT-USDT,241,92.44206
True,-4.208189798640839,0.00064,33.70042,-3.91443,SNX-USDT,AAVE-USDT,240,132.83282
True,-4.919555250780488,3e-05,3.34748,0.00894,ADA-USDT,XTZ-USDT,238,138.12841
True,-5.30876081228542,1e-05,0.5223,0.00325,IOTA-USDT,CTSI-USDT,237,94.83961
True,-5.371300995248043,0.0,0.16548,-0.02392,DOT-USDT,THETA-USDT,236,124.00186
True,-4.314411103381223,0.00042,0.3454,-0.00067,ARPA-USDT,1000SHIB-USDT,236,62.90313
True,-3.68141155506478,0.00438,0.09293,-0.01703,BAND-USDT,REN-USDT,235,217.63217
True,-3.9718810987369046,0.00157,0.01465,0.00411,AR-USDT,CHR-USDT,235,124.05851
True,-4.783108240181379,6e-05,0.00023,1e-05,NEO-USDT,HOT-USDT,234,147.49411
True,-5.230291388658137,1e-05,57.47578,0.02592,CELR-USDT,CRV-USDT,233,173.52202
True,-3.9267027693128997,0.00185,0.00025,-0.1677,YFI-USDT,DYDX-USDT,232,187.89399
True,-4.051150691393448,0.00117,0.01171,0.01785,AR-USDT,CTSI-USDT,231,126.04326
True,-3.515164416506936,0.00761,0.52045,-0.0989,QTUM-USDT,XTZ-USDT,230,141.74318
True,-4.051368080113383,0.00116,8.26695,0.19062,THETA-USDT,LPT-USDT,229,120.73257
True,-3.5277196955225247,0.0073,0.00115,0.00633,LTC-USDT,DOGE-USDT,229,190.42025
True,-4.615470823942076,0.00012,0.22522,-0.0043,ADA-USDT,NKN-USDT,226,148.89317
True,-3.6755948003663046,0.00447,2.21519,0.07657,LRC-USDT,MANA-USDT,224,313.45248
True,-4.991145160264276,2e-05,0.64734,0.05752,ZEN-USDT,LPT-USDT,223,71.97218
True,-4.369529512887522,0.00034,136.99403,-4.26299,ICX-USDT,SOL-USDT,223,106.10145
True,-5.42258175179731,0.0,0.20103,0.00012,DGB-USDT,HOT-USDT,223,44.71067
True,-5.437072190251766,0.0,0.11668,-0.01072,THETA-USDT,REN-USDT,220,85.08951
True,-3.4219069737677805,0.01023,0.0658,-0.00141,ICX-USDT,CELR-USDT,219,172.47188
True,-4.354671731921453,0.00036,2.14014,0.1259,SAND-USDT,GTC-USDT,218,119.86045
True,-5.521637031562942,0.0,0.02853,0.04084,AXS-USDT,C98-USDT,218,136.04323
True,-6.210972456578358,0.0,4.54104,0.14258,C98-USDT,ALICE-USDT,218,79.47292
True,-4.066851066468668,0.0011,1.41389,0.03455,BAT-USDT,STORJ-USDT,218,95.60628
True,-3.8034960098966986,0.00287,0.14276,-0.00142,REN-USDT,CELR-USDT,217,170.97117
True,-5.555065750598812,0.0,132.10905,-0.41698,GRT-USDT,AXS-USDT,217,105.69045
True,-4.149195435000057,0.0008,0.3931,0.01766,LRC-USDT,CTSI-USDT,217,139.98592
True,-3.3267100682620065,0.01373,0.4963,-0.00884,BLZ-USDT,ANKR-USDT,216,188.21693
True,-5.805526558927191,0.0,1.6864,-0.01624,COTI-USDT,CTSI-USDT,214,107.05696
True,-5.080213745003067,2e-05,0.01956,-0.01646,DOT-USDT,REN-USDT,213,112.82788
True,-4.725664505237218,8e-05,0.70814,-0.00731,OCEAN-USDT,ALPHA-USDT,213,141.2728
True,-5.065713124387167,2e-05,3.24292,0.51797,C98-USDT,MASK-USDT,212,389.4053
True,-3.224647476689754,0.0186,0.38252,-0.00048,OCEAN-USDT,HBAR-USDT,212,181.70471
True,-3.2877226130671646,0.01544,153.41868,0.00219,DENT-USDT,CTSI-USDT,211,187.97993
True,-3.1006918300730506,0.0265,2217.45632,2.03548,BAT-USDT,DEFI-USDT,211,331.15274
True,-4.532268153554404,0.00017,1956.71714,-0.03412,IOTX-USDT,EGLD-USDT,211,106.36293
True,-3.499959607401742,0.00799,64.96861,-0.29222,ATA-USDT,LPT-USDT,210,126.91204
True,-3.9187604609119164,0.0019,0.32869,0.00045,NKN-USDT,ANKR-USDT,208,118.75572
True,-5.077757266975668,2e-05,0.00422,-0.00082,DOT-USDT,IOTX-USDT,208,100.06667
True,-3.800962355448666,0.0029,0.00307,0.00055,THETA-USDT,REEF-USDT,208,217.10053
True,-4.961657358254487,3e-05,2541.42759,0.98311,REEF-USDT,ATOM-USDT,207,160.26871
True,-4.45300900863125,0.00024,0.01617,8e-05,SNX-USDT,1000XEC-USDT,207,118.70151
True,-3.914211678767439,0.00193,46.08056,0.14176,ATA-USDT,DOT-USDT,207,129.33965
True,-4.292916185758722,0.00046,3.12882,6e-05,DGB-USDT,ANKR-USDT,206,119.43779
True,-5.690179700171978,0.0,0.01374,-0.00138,LINK-USDT,NKN-USDT,206,125.63469
True,-2.8857392119489926,0.04703,3.78981,-0.0047,ADA-USDT,KAVA-USDT,206,300.72479
True,-6.566833503456913,0.0,6.00737,-0.07676,ZRX-USDT,KAVA-USDT,206,65.75653
True,-7.058690702033618,0.0,0.02526,0.00028,THETA-USDT,IOTX-USDT,206,58.68138
True,-3.1022325847531445,0.02639,0.00046,0.00076,AR-USDT,RSR-USDT,204,229.37027
True,-5.177781145061389,1e-05,0.47441,0.01045,BAKE-USDT,REN-USDT,204,137.81557
True,-3.7224334431353925,0.00381,0.0006,-0.00046,COMP-USDT,IOTX-USDT,203,186.73809
True,-5.127424547401164,1e-05,0.0493,-0.0001,LRC-USDT,CELR-USDT,203,136.2218
True,-4.007463309395021,0.00137,0.02386,-0.00045,ADA-USDT,DGB-USDT,202,181.35624
True,-3.73358944822599,0.00366,30.19999,-0.00644,RSR-USDT,CHR-USDT,201,138.32138
True,-4.907248175744709,3e-05,0.02905,0.04163,ZEN-USDT,TOMO-USDT,201,115.58085
True,-3.4528389424143064,0.00928,24.15879,0.00921,RSR-USDT,CTSI-USDT,201,140.5616
True,-3.9759631538642313,0.00154,0.10216,-0.04801,LINK-USDT,1INCH-USDT,201,234.65635
True,-3.3201829625271597,0.014,2.92777,0.02279,ATA-USDT,TOMO-USDT,201,142.55477
True,-4.655916882765083,0.0001,21.68997,-0.42289,TOMO-USDT,LPT-USDT,200,112.39787
True,-3.186449719232287,0.02078,27.41709,-8.83291,BAND-USDT,SOL-USDT,199,327.14907
True,-4.609940283579898,0.00012,45.88693,-0.00225,HOT-USDT,NKN-USDT,198,91.01175
True,-3.905530001931803,0.00199,0.53443,-0.01855,BAT-USDT,ATA-USDT,197,90.59575
True,-3.7296260204244605,0.00372,6.56335,-0.06868,ONT-USDT,XTZ-USDT,197,140.97363
True,-5.541479404068871,0.0,4.61738,-0.23197,ENJ-USDT,ALICE-USDT,197,85.5136
True,-3.516230165762475,0.00758,23730.51874,0.73133,ANKR-USDT,DEFI-USDT,196,112.33692
True,-3.281427447312318,0.01573,65.27109,1.42831,OGN-USDT,AR-USDT,194,350.85221
True,-3.5158659441174533,0.00759,0.49741,0.01995,ADA-USDT,ONT-USDT,194,200.06224
True,-3.4823133977935345,0.00845,0.00296,0.01114,AAVE-USDT,ONT-USDT,194,226.74063
True,-5.1757840359890235,1e-05,308.51803,-0.30176,LINA-USDT,GTC-USDT,194,72.54482
True,-4.055845976990677,0.00114,9497.95624,0.72364,DENT-USDT,LPT-USDT,193,107.23811
True,-4.610060773180497,0.00012,0.06285,0.02171,DOT-USDT,TOMO-USDT,193,128.89748
True,-4.780086903224036,6e-05,0.01576,0.00889,AR-USDT,OCEAN-USDT,193,100.06493
True,-4.760155166481873,6e-05,0.0065,0.00226,GTC-USDT,CELR-USDT,192,111.21186
True,-4.231507229227741,0.00058,0.09321,0.6312,AXS-USDT,MASK-USDT,192,494.34192
True,-4.846441798504508,4e-05,421.22746,5.56188,REN-USDT,EGLD-USDT,192,126.20197
True,-5.956484816539577,0.0,68.02154,-0.1158,LINA-USDT,C98-USDT,192,126.7548
True,-3.8763594907819976,0.00222,0.02577,0.03025,AR-USDT,ALGO-USDT,192,118.21032
True,-4.937034008159802,3e-05,0.01774,-0.01153,ZEN-USDT,BAKE-USDT,192,206.17326
True,-3.1851604225462276,0.02086,0.61258,0.02377,ADA-USDT,ZRX-USDT,191,270.5772
True,-3.9127371374021904,0.00194,0.03569,-0.00174,EOS-USDT,1000XEC-USDT,191,125.21427
True,-4.2507833608032435,0.00054,49.91786,-0.41189,THETA-USDT,EGLD-USDT,191,127.39439
True,-5.148696133340097,1e-05,0.38216,-0.00545,LRC-USDT,ALPHA-USDT,190,124.76707
True,-3.9446561593938316,0.00173,30874.69324,-25.73573,VET-USDT,DEFI-USDT,190,166.61669
True,-3.172826750152755,0.02161,3.02563,-0.87446,AR-USDT,SOL-USDT,190,165.25241
True,-3.1646655132607453,0.02212,0.18756,0.00185,STORJ-USDT,NKN-USDT,190,153.74476
True,-3.4494228157130724,0.00939,24.98434,-0.8914,BAT-USDT,DOT-USDT,189,140.78912
True,-5.156519087129832,1e-05,9.34465,-0.00076,DENT-USDT,LINA-USDT,189,167.33181
True,-5.89932923549269,0.0,2.98976,0.00235,IOST-USDT,1000XEC-USDT,188,67.74537
True,-3.705305233225383,0.00404,0.33907,0.00657,XTZ-USDT,STORJ-USDT,188,163.75305
True,-4.730257079847444,7e-05,12.59029,0.53248,GRT-USDT,MASK-USDT,188,415.63276
True,-3.316942715159424,0.01414,3.94415,0.0079,CELR-USDT,HBAR-USDT,188,252.10723
True,-5.031306185165684,2e-05,454.09848,-6.40085,ALPHA-USDT,KSM-USDT,188,121.00525
True,-4.775649561619559,6e-05,0.0484,2e-05,XEM-USDT,HOT-USDT,188,128.50753
True,-3.5698865237405344,0.00636,1322.2915,0.33998,DENT-USDT,BAND-USDT,187,187.56319
True,-4.019314204939311,0.00131,36.93267,-0.00993,IOST-USDT,ADA-USDT,187,202.79987
True,-4.5766479198491785,0.00014,0.72888,0.03181,LRC-USDT,ICX-USDT,187,149.14819
True,-3.5367887704041427,0.00709,1.14116,0.00212,IOTA-USDT,ALGO-USDT,187,170.27864
True,-4.043087653977491,0.0012,12.1508,0.00088,COTI-USDT,THETA-USDT,186,156.85931
True,-4.6093400348308915,0.00012,0.03854,0.00036,COTI-USDT,REEF-USDT,186,147.91425
