,pair,sum
333,ZEN-USDT_XMR-USDT,3755
365,SAND-USDT_USTC-USDT,3541
2,SFP-USDT_XMR-USDT,3505
328,TRB-USDT_USTC-USDT,3447
427,ZRX-USDT_ATA-USDT,3262
54,KNC-USDT_XRP-USDT,3192
467,IOTA-USDT_STORJ-USDT,3186
64,SKL-USDT_GAS-USDT,3131
193,FLM-USDT_BEL-USDT,3126
465,BNT-USDT_AXS-USDT,3120
453,SAND-USDT_GTC-USDT,3119
393,LUNA2-USDT_HOT-USDT,3108
322,NKN-USDT_APE-USDT,3102
455,ZIL-USDT_LIT-USDT,3056
237,JOE-USDT_HOT-USDT,3055
372,DASH-USDT_AXS-USDT,3032
75,MINA-USDT_YFI-USDT,3001
342,POWR-USDT_HIFI-USDT,2983
401,ENS-USDT_SFP-USDT,2974
310,XVS-USDT_USTC-USDT,2939
40,EDU-USDT_API3-USDT,2932
148,OMG-USDT_ANKR-USDT,2923
150,HOOK-USDT_APE-USDT,2917
308,DASH-USDT_STEEM-USDT,2914
243,BNT-USDT_XVS-USDT,2907
369,ONT-USDT_AXS-USDT,2898
169,IOST-USDT_REEF-USDT,2897
208,ZIL-USDT_SXP-USDT,2896
133,VET-USDT_ONE-USDT,2894
482,HOT-USDT_STMX-USDT,2889
170,ZRX-USDT_GAS-USDT,2886
8,SAND-USDT_KSM-USDT,2885
184,CTSI-USDT_API3-USDT,2876
298,HIGH-USDT_ALPHA-USDT,2873
418,CYBER-USDT_LQTY-USDT,2865
405,ROSE-USDT_LRC-USDT,2862
444,SXP-USDT_STMX-USDT,2853
436,HOOK-USDT_ID-USDT,2844
86,DUSK-USDT_YFI-USDT,2821
93,OXT-USDT_GRT-USDT,2820
463,FIL-USDT_JASMY-USDT,2819
309,STORJ-USDT_1000LUNC-USDT,2805
146,ALGO-USDT_1000SHIB-USDT,2789
78,SAND-USDT_GMT-USDT,2776
456,CTSI-USDT_NMR-USDT,2772
434,LEVER-USDT_UMA-USDT,2760
195,DENT-USDT_DEFI-USDT,2760
113,RLC-USDT_BAT-USDT,2749
410,QTUM-USDT_MTL-USDT,2749
238,HOOK-USDT_HFT-USDT,2748
400,CTSI-USDT_ASTR-USDT,2742
