is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life,spearman
True,-4.2018045722433,0.00065,0.06499,-0.00538,ZEC-USDT,BAND-USDT,81,14.9921,0.938
True,-3.6435469514575693,0.00498,24.04371,0.01138,BAT-USDT,FIL-USDT,80,19.91281,0.906
True,-4.733873247392187,7e-05,1.67922,-0.00546,STORJ-USDT,FLOW-USDT,76,11.58264,0.964
True,-4.820858080409694,5e-05,0.98876,0.0051,MINA-USDT,PORTAL-USDT,70,11.48202,0.833
True,-2.895998211037999,0.04582,3.86458,0.00601,BAT-USDT,XTZ-USDT,65,17.2869,0.928
True,-3.3763381627268125,0.01179,13.24509,0.01655,SAND-USDT,FIL-USDT,62,19.15932,0.914
True,-4.063756265268374,0.00111,0.0046,3e-05,API3-USDT,BOME-USDT,62,12.67912,0.898
True,-3.1010610781005505,0.02647,0.00924,0.02473,AAVE-USDT,YGG-USDT,62,22.22883,0.936
True,-4.543558944278017,0.00016,0.32144,-0.00079,ARPA-USDT,USTC-USDT,60,12.06428,0.763
True,-3.5897254073578018,0.00596,0.07212,-0.00037,POWR-USDT,USTC-USDT,59,23.4893,0.394
True,-2.8823828378681577,0.04744,0.03034,0.00252,ZEC-USDT,BNT-USDT,59,31.53955,0.958
True,-4.237143531477278,0.00057,13.36278,-0.0515,TRX-USDT,ZETA-USDT,54,20.07947,0.555
True,-2.877082458120913,0.04808,0.0837,-0.00016,SAND-USDT,T-USDT,52,32.31978,0.845
True,-3.795951535225878,0.00295,19.65232,-0.0014,GMT-USDT,FXS-USDT,51,18.17382,0.909
True,-4.160661769497763,0.00077,87.06228,0.96621,FRONT-USDT,TRB-USDT,50,22.84318,0.731
True,-3.7562389678841233,0.00339,0.17805,-0.00168,LIT-USDT,RDNT-USDT,50,26.1448,0.873
True,-3.1213382863976533,0.02501,0.01995,0.00029,WAVES-USDT,1000XEC-USDT,49,18.44571,0.821
True,-3.3504637541420927,0.01277,0.01819,0.00737,COMP-USDT,LQTY-USDT,48,20.60664,0.944
